Assay Type	IEDB Assay ID	Method/Technique	Measurement Of	Units	Tree View Name	Ontology ID	IEDB alternative term	RDFS Label	Textual Definition	Logical Axiom Count	Logical Note	Logical Definition Type	Parent	Technique	Input	Reagent	MHC Source	Biological Process	BCell Process Result	TCell Process Result	Output	Unit	has specified input some material entity plays role 'positive reference substance role'	Term Editor	Definition Source	Curator Comment	Curation Status	Comment	Synonyms				
	A IEDB assay ID	A IEDB assay technique	A IEDB assay measurement of	A IEDB assay units	A IEDB tree view name	ID	A IEDB alternative term	A rdfs:label	A definition			CLASS_TYPE	C %	C 'has part' some % SPLIT=|	C has_specified_input some %	C (has_specified_input some %) and (realizes some ('reagent role' and ('inheres in' some %)))	C has_specified_input some (% and ('has part' some 'MHC protein complex'))	C has_specified_output some ('information content entity' and ('is about' some %))	C has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'immunoglobulin binding to epitope'))))	C has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'MHC:epitope complex binding to TCR'))))	C has_specified_output some %	C has_specified_output some ('has measurement unit label' value %)		A term editor	A definition source				A alternative term SPLIT=,				
TCell	396	ELISPOT	TGFb release		ELISPOT	OBI:0001194	TGFb release|ELISPOT	ELISPOT assay measuring epitope specific transforming growth factor-beta production by T cells	An assay of epitope specific transforming growth factor-beta production by T cells that uses an ELISPOT assay.	1		equivalent	biological activity assay measuring epitope specific transforming growth factor-beta production by T cells	enzyme-linked immunospot assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISPOT, cytokine release				
TCell	397	cytometric bead array	CXCL10/IP-10 release		bead array	OBI:0001196	CXCL10/IP-10 release|cytometric bead array	cytometric bead array assay measuring epitope specific IP-10 production by T cells	An assay of epitope specific IP-10 production by T cells that uses a cytometric bead array assay.	1		equivalent	biological activity assay measuring epitope specific IP-10 production by T cells	cytometric bead array assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytometric bead array, cytokine release, CBA				
TCell	parent	biological activity	IL-27 release		IL-27	OBI:0001198	IL-27 release|biological activity	biological activity assay measuring epitope specific interleukin-27 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-27 production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-27 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IL-27 release, any method, IL27, IL-27, IL 27,interleukin				
TCell	171	RNA/DNA detection	TGFb release		RNA/DNA	OBI:0001203	TGFb release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific transforming growth factor-beta production by T cells	An assay of epitope specific transforming growth factor-beta production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	1		equivalent	biological activity assay measuring epitope specific transforming growth factor-beta production by T cells	detection of specific nucleic acid polymers with complementary probes										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				RNA detection, DNA detection, cytokine release, PCR, RT-PCR				
TCell	380	ELISPOT	GM-CSF release		ELISPOT	OBI:0001206	GM-CSF release|ELISPOT	ELISPOT assay measuring epitope specific granulocyte macrophage colony-stimulating factor production by T cells	An assay of epitope specific granulocyte macrophage colony stimulating factor production by T cells that uses an ELISPOT assay.	1		equivalent	biological activity assay measuring epitope specific granulocyte macrophage colony stimulating factor production by T cells	enzyme-linked immunospot assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISPOT, cytokine release				
TCell	parent	biological activity	IL-10 release		IL-10	OBI:0001209	IL-10 release|biological activity	biological activity assay measuring epitope specific interleukin-10 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-10 production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-10 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IL-10 release, any method, IL-10, IL10, IL 10, interleukin				
TCell	411	cytometric bead array	TGFb release		bead array	OBI:0001210	TGFb release|cytometric bead array	cytometric bead array assay measuring epitope specific transforming growth factor-beta production by T cells	An assay of epitope specific transforming growth factor-beta production by T cells that uses a cytometric bead array assay.	1		equivalent	biological activity assay measuring epitope specific transforming growth factor-beta production by T cells	cytometric bead array assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytometric bead array, cytokine release, CBA				
TCell	409	intracellular staining	perforin release		intracellular staining	OBI:0001215	perforin release|intracellular staining	intracellular material detection assay measuring epitope specific perforin release	A T cell epitope specific perforin release assay that uses an intracellular material detection by flow cytometry assay.	1		equivalent	biological activity assay measuring epitope specific perforin release by T cells	flow cytometry assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				intracellular staining, perforin release				
TCell	62	bioassay	IL-2 release		bioassay	OBI:0001216	IL-2 release|bioassay	cell culture analyte detection bioassay measuring epitope specific interleukin-2 production by T cells	An assay of epitope specific interleukin-2 production by T cells that uses a cell culture analyte detection bioassay.	1		equivalent	biological activity assay measuring epitope specific interleukin-2 production by T cells	reporter cell line analyte detection bioassay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytokine bioassay, cytokine release				
TCell	parent	biological activity	IL-22 release		IL-22	OBI:0001217	IL-22 release|biological activity	biological activity assay measuring epitope specific interleukin-22 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-22 production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-22 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IL-22 release, any method, IL-22, IL22, IL 22,interleukin				
TCell	parent	biological activity	IL-8 release		IL-8	OBI:0001218	IL-8 release|biological activity	biological activity assay measuring epitope specific interleukin-8 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-8 production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-8 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IL-8 release, any method, IL-8, IL8, IL 8, interleukin				
TCell	64	bioassay	IL-10 release		bioassay	OBI:0001220	IL-10 release|bioassay	cell culture analyte detection bioassay measuring epitope specific interleukin-10 production by T cells	An assay of epitope specific interleukin-10 production by T cells that uses a cell culture analyte detection bioassay.	1		equivalent	biological activity assay measuring epitope specific interleukin-10 production by T cells	reporter cell line analyte detection bioassay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytokine bioassay, cytokine release				
TCell	386	ELISA	CCL5/RANTES release		ELISA	OBI:0001222	CCL5/RANTES release|ELISA	ELISA measuring epitope specific RANTES production by T cells	An assay of epitope specific RANTES production by T cells that uses an ELISA.	1		equivalent	biological activity assay measuring epitope specific RANTES production by T cells	enzyme-linked immunosorbent assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISA, cytokine release				
TCell	365	cytometric bead array	IL-1b release		bead array	OBI:0001223	IL-1b release|cytometric bead array	cytometric bead array assay measuring epitope specific interleukin-1 beta production by T cells	An assay of epitope specific interleukin-1 beta production by T cells that uses a cytometric bead array assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-1 beta production by T cells	cytometric bead array assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytometric bead array, cytokine release, CBA				
TCell	381	ELISPOT	IL-6 release		ELISPOT	OBI:0001227	IL-6 release|ELISPOT	ELISPOT assay measuring epitope specific interleukin-6 production by T cells	An assay of epitope specific interleukin-6 production by T cells that uses an ELISPOT assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-6 production by T cells	enzyme-linked immunospot assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISPOT, cytokine release				
TCell	269	biological activity	antibody help		antibody help	OBI:0001228	antibody help|biological activity	biological activity assay measuring epitope specific helper T cell enhancement of a B cell mediated immune response	A T cell epitope specific helper activity assay that detects the ability of a T cell epitope to enhance an antibody response.	2		equivalent	biological activity assay measuring epitope specific T cell helper activity					helper T cell enhancement of B cell mediated immune response		helper T cell enhancement of B cell mediated immune response				IEDB	IEDB				any method, enhancement of antibody response				
TCell	301	surface plasmon resonance (SPR)	dissociation constant KD	nM	plasmon resonance (KD)	OBI:0001229	dissociation constant KD|surface plasmon resonance (SPR)|nM	plasmon resonance assay measuring the dissociation constant [KD] of a T cell epitope:MHC:TCR complex	A T cell epitope equilibrium dissociation constant (KD) determination assay that uses a surface plasmon resonance assay.	2		equivalent	assay measuring the dissociation constant [KD] of a T cell epitope:MHC:TCR complex	surface plasmon resonance binding assay								nanomolar		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				surface plasmon resonance, SPR, MHC:epitope complex binding to TCR, nM, dissociation constant				
TCell	parent	biological activity	IL-5 release		IL-5	OBI:0001230	IL-5 release|biological activity	biological activity assay measuring epitope specific interleukin-5 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-5 production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-5 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IL-5 release, any method, IL5, IL-5, IL 5, interleukin				
TCell	196	ELISA	TGFb release		ELISA	OBI:0001231	TGFb release|ELISA	ELISA measuring epitope specific transforming growth factor-beta production by T cells	An assay of epitope specific transforming growth factor-beta production by T cells that uses an ELISA.	1		equivalent	biological activity assay measuring epitope specific transforming growth factor-beta production by T cells	enzyme-linked immunosorbent assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISA, cytokine release				
TCell	parent	biological activity	CCL5/RANTES release		CCL5/RANTES	OBI:0001232	CCL5/RANTES release|biological activity	biological activity assay measuring epitope specific RANTES production by T cells	A T cell epitope specific cytokine production assay that detects RANTES production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					chemokine (C-C motif) ligand 5 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				CCL5, RANTES release, any method,Chemokine (C-C motif) ligand, RANTES, Regulated on Activation, Normal T Cell Expressed				
TCell	parent	biological activity	GM-CSF release		GM-CSF	OBI:0001233	GM-CSF release|biological activity	biological activity assay measuring epitope specific granulocyte macrophage colony stimulating factor production by T cells	A T cell epitope specific cytokine production assay that detects granulocyte macrophage colony stimulating factor production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					granulocyte macrophage colony-stimulating factor production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				GM-CSF release, any method, GMCSF, GM CSF, granulocyte-macrophage colony-stimulating factor 				
TCell	406	ELISA	IL-22 release		ELISA	OBI:0001236	IL-22 release|ELISA	ELISA measuring epitope specific interleukin-22 production by T cells	An assay of epitope specific interleukin-22 production by T cells that uses an ELISA.	1		equivalent	biological activity assay measuring epitope specific interleukin-22 production by T cells	enzyme-linked immunosorbent assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISA, cytokine release				
TCell	parent	biological activity	IL-21 release		IL-21	OBI:0001237	IL-21 release|biological activity	biological activity assay measuring epitope specific interleukin-21 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-21 production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-21 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IL-21 release, any method, IL-21, IL21, IL 21, interleukin				
TCell	350	ELISA	IL-9 release		ELISA	OBI:0001238	IL-9 release|ELISA	ELISA measuring epitope specific interleukin-9 production by T cells	An assay of epitope specific interleukin-9 production by T cells that uses an ELISA.	1		equivalent	biological activity assay measuring interleukin-9 production by T cells	enzyme-linked immunosorbent assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISA, cytokine release				
TCell	340	ICS	IL-6 release		ICS	OBI:0001240	IL-6 release|ICS	intracellular cytokine staining assay measuring epitope specific interleukin-6 production by T cells	An assay of epitope specific interleukin-6 production by T cells that uses an intracellular cytokine staining assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-6 production by T cells	flow cytometry assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				intracellular cytokine staining , ICS, cytokine release				
TCell	66	bioassay	IL-4 release		bioassay	OBI:0001241	IL-4 release|bioassay	cell culture analyte detection bioassay measuring epitope specific interleukin-4 production by T cells	An assay of epitope specific interleukin-4 production by T cells that uses a cell culture analyte detection bioassay.	1		equivalent	biological activity assay measuring epitope specific interleukin-4 production by T cells	reporter cell line analyte detection bioassay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytokine bioassay, cytokine release				
TCell	282	RNA/DNA detection	TNFa release		RNA/DNA	OBI:0001242	TNFa release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific tumor necrosis factor production by T cells	A T cell epitope specific tumor necrosis factor production assay that uses a detection of specific nucleic acids with complementary probes assay.	1		equivalent	biological activity assay measuring epitope specific tumor necrosis factor production by T cells	detection of specific nucleic acid polymers with complementary probes										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				RNA detection, DNA detection, cytokine release, PCR, RT-PCR				
TCell	378	cytometric bead array	CCL2/MCP-1 release		bead array	OBI:0001243	CCL2/MCP-1 release|cytometric bead array	cytometric bead array assay measuring epitope specific monocyte chemotactic protein-1 production by T cells	An assay of epitope specific monocyte chemotactic protein-1 production by T cells that uses a cytometric bead array assay.	1		equivalent	biological activity assay measuring epitope specific monocyte chemotactic protein-1 production by T cells	cytometric bead array assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytometric bead array, cytokine release, CBA				
TCell	374	ELISA	IL-23 release		ELISA	OBI:0001244	IL-23 release|ELISA	ELISA measuring epitope specific interleukin-23 production by T cells	An assay of epitope specific interleukin-23 production by T cells that uses an ELISA.	1		equivalent	biological activity assay measuring epitope specific interleukin-23 production by T cells	enzyme-linked immunosorbent assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISA, cytokine release				
TCell	266	RNA/DNA detection	perforin release		RNA/DNA	OBI:0001245	perforin release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific perforin release	A T cell epitope specific perforin release assay that uses a detection of specific nucleic acids with complementary probes assay.	1		equivalent	biological activity assay measuring epitope specific perforin release by T cells	detection of specific nucleic acid polymers with complementary probes										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				RNA detection, DNA detection, PCR, RT-PCR				
TCell	84	ELISA	TNF release		ELISA	OBI:0001246	TNF release|ELISA	ELISA measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells	An assay of epitope specific tumor necrosis factor superfamily cytokine production by T cells that uses an ELISA.	1		equivalent	biological activity assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells	enzyme-linked immunosorbent assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISA, cytokine release				
TCell	parent	biological activity	IL-13 release		IL-13	OBI:0001251	IL-13 release|biological activity	biological activity assay measuring epitope specific interleukin-13 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-13 production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-13 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IL-13 release, any method, IL-13, IL13, IL 13, interleukin				
TCell	parent	biological activity	IL-9 release		IL-9	OBI:0001253	IL-9 release|biological activity	biological activity assay measuring interleukin-9 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-9 production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-9 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IL-9 release, any method, IL-9, IL9, IL 9, interleukin				
TCell	320	RNA/DNA detection	IL-5 release		RNA/DNA	OBI:0001255	IL-5 release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-5 production by T cells	An assay of epitope specific interleukin-5 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-5 production by T cells	detection of specific nucleic acid polymers with complementary probes										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				RNA detection, DNA detection, cytokine release, PCR, RT-PCR				
TCell	328	ELISA	IL-3 release		ELISA	OBI:0001260	IL-3 release|ELISA	ELISA measuring epitope specific interleukin-3 production by T cells	An assay of epitope specific interleukin-3 production by T cells that uses an ELISA.	1		equivalent	biological activity assay measuring epitope specific interleukin-3 production by T cells	enzyme-linked immunosorbent assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISA, cytokine release				
TCell	332	ELISA	IL-1a release		ELISA	OBI:0001261	IL-1a release|ELISA	ELISA measuring epitope specific interleukin-1 alpha production by T cells	An assay of epitope specific interleukin-1 alpha production by T cells that uses an ELISA.	1		equivalent	biological activity assay measuring epitope specific interleukin-1 alpha production by T cells	enzyme-linked immunosorbent assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISA, cytokine release				
