Accession	IEDB Disease ID	Disease Name																								
DOID:4	1	disease																								
DOID:0050156	2	idiopathic pulmonary fibrosis																								
DOID:0050194	4	Argentine hemorrhagic fever																								
DOID:0050201	5	nephropathia epidemica																								
DOID:12474	7	capillariasis																								
DOID:0050256	8	angiostrongyliasis																								
DOID:11750	10	Bordetella parapertussis whooping cough																								
DOID:0060000	13	infective endocarditis																								
DOID:1003	15	pelvic inflammatory disease																								
DOID:10074	16	hymenolepiasis																								
DOID:10079	17	cysticercosis																								
DOID:1019	18	osteomyelitis																								
DOID:10223	20	dermatomyositis																								
DOID:1023	21	borderline leprosy																								
DOID:1993	22	rectum cancer																								
DOID:1024	23	leprosy																								
DOID:1025	24	tuberculoid leprosy																								
DOID:10264	25	mumps																								
DOID:10300	26	Raynaud disease																								
DOID:10314	27	endocarditis																								
DOID:10322	28	berylliosis																								
DOID:10325	29	silicosis																								
DOID:10423	30	acute pericementitis																								
DOID:10533	34	viral pneumonia																								
DOID:10608	35	celiac disease																								
DOID:10652	36	Alzheimer's disease																								
DOID:10690	38	mastitis																								
DOID:10699	39	paragonimiasis																								
DOID:10718	41	giardiasis																								
DOID:1040	42	chronic lymphocytic leukemia																								
DOID:10754	43	otitis media																								
DOID:10772	44	thrombotic thrombocytopenic purpura																								
DOID:10844	46	Japanese encephalitis																								
DOID:10887	47	lepromatous leprosy																								
DOID:10955	48	strongyloidiasis																								
DOID:11042	50	Felty's syndrome																								
DOID:11077	51	brucellosis																								
DOID:11168	53	anogenital venereal wart																								
DOID:11198	55	DiGeorge syndrome																								
DOID:11256	57	typhus																								
DOID:10881	59	hand, foot and mouth disease																								
DOID:11265	61	trachoma																								
DOID:11335	62	sarcoidosis																								
DOID:11379	63	gnathomiasis																								
DOID:11557	65	acute serous otitis media																								
DOID:11573	66	listeriosis																								
DOID:11656	67	cicatricial pemphigoid																								
DOID:11678	68	onchocerciasis																								
DOID:11716	71	prediabetes syndrome																								
DOID:11729	72	Lyme disease																								
DOID:11934	75	head and neck cancer																								
ONTIE:0003444	77	habitual abortion																								
DOID:649	78	prion disease																								
DOID:1205	79	allergic disease																								
DOID:12053	80	cryptococcosis																								
DOID:2275	81	pharyngitis																								
DOID:12132	82	granulomatosis with polyangiitis																								
DOID:12134	84	factor VIII deficiency																								
DOID:12140	85	Chagas disease																								
DOID:12155	86	lymphocytic choriomeningitis																								
DOID:12177	87	common variable immunodeficiency																								
DOID:12205	88	dengue disease																								
DOID:12206	89	dengue hemorrhagic fever																								
DOID:12236	90	primary biliary cirrhosis																								
DOID:12259	91	hemophilia B																								
DOID:12297	92	Vogt-Koyanagi-Harada disease																								
DOID:12306	93	vitiligo																								
DOID:12336	94	male infertility																								
DOID:12361	95	Graves' disease, Graves disease																								
DOID:12362	96	thyrotoxic exophthalmos																								
DOID:1252	99	trichuriasis																								
DOID:12549	100	hepatitis A																								
DOID:12554	102	hemolytic-uremic syndrome																								
DOID:12662	105	paracoccidioidomycosis																								
DOID:12663	106	blastomycosis																								
DOID:12731	107	pars planitis																								
DOID:12841	108	ancylostomiasis																								
DOID:12842	109	Guillain-Barre syndrome																								
DOID:1287	110	cardiovascular system disease																								
DOID:12889	111	Miller Fisher syndrome																								
DOID:12894	112	Sjogren's syndrome																								
DOID:12930	113	dilated cardiomyopathy																								
DOID:12978	114	Plasmodium vivax malaria																								
DOID:13166	119	allergic bronchopulmonary aspergillosis																								
DOID:1319	120	brain cancer																								
DOID:13241	121	Behcet's disease																								
DOID:13258	122	typhoid fever																								
DOID:13366	125	Stiff-Person syndrome																								
DOID:13375	126	temporal arteritis																								
DOID:13378	127	Kawasaki disease																								
DOID:13593	129	eclampsia																								
DOID:13768	133	opisthorchiasis																								
DOID:13774	134	Addison's disease																								
DOID:8920	136	leukoplakia of vagina																								
DOID:1395	137	schistosomiasis																								
DOID:1398	138	parasitic infectious disease																								
DOID:14018	139	alcoholic liver cirrhosis																								
DOID:14040	141	autoimmune polyendocrine syndrome																								
DOID:14067	142	Plasmodium falciparum malaria																								
DOID:14330	147	Parkinson's disease																								
DOID:14472	148	hantavirus pulmonary syndrome																								
DOID:1273	149	respiratory syncytial virus infectious disease																								
DOID:14482	152	pemphigoid gestationis																								
DOID:1485	157	cystic fibrosis																								
DOID:1496	158	echinococcosis																								
DOID:1498	159	cholera																								
DOID:1508	160	candidiasis																								
DOID:1575	163	rheumatic disease																								
DOID:1586	164	rheumatic fever																								
DOID:1588	165	thrombocytopenia																								
DOID:1612	166	breast cancer																								
DOID:162	167	cancer																								
DOID:1883	171	hepatitis C																								
DOID:1884	172	viral hepatitis																								
DOID:1895	173	allergic contact dermatitis of eyelid																								
DOID:1936	174	atherosclerosis																								
DOID:1947	175	trichomoniasis																								
DOID:2043	178	hepatitis B																								
DOID:2047	180	hepatitis D																								
DOID:2048	181	autoimmune hepatitis																								
DOID:2123	182	tularemia																								
DOID:216	183	dental caries																								
DOID:2297	187	leptospirosis																								
DOID:10310	188	viral meningitis																								
DOID:235	190	colonic benign neoplasm																								
DOID:2366	191	West Nile fever																								
DOID:2377	192	multiple sclerosis																								
DOID:2394	193	ovarian cancer																								
DOID:2491	194	sensory peripheral neuropathy																								
DOID:2556	198	relapsing polychondritis																								
DOID:2755	199	Mycobacterium avium complex disease																								
DOID:2790	201	necatoriasis																								
DOID:2841	203	asthma																								
DOID:289	204	endometriosis																								
DOID:2893	205	cervix carcinoma																								
DOID:2929	209	Newcastle disease																								
DOID:2945	212	severe acute respiratory syndrome																								
DOID:2988	213	antiphospholipid syndrome																								
DOID:305	216	carcinoma																								
DOID:3132	218	porphyria cutanea tarda																								
DOID:3165	219	skin benign neoplasm																								
DOID:321	221	tropical spastic paraparesis																								
DOID:331	223	central nervous system disease																								
DOID:3310	224	atopic dermatitis																								
DOID:3324	225	mood disorder																								
DOID:3393	226	coronary artery disease																								
DOID:341	228	peripheral vascular disease																								
DOID:3492	231	mixed connective tissue disease																								
DOID:3526	232	cerebral infarction																								
DOID:1793	233	pancreatic cancer																								
DOID:3620	234	central nervous system cancer																								
DOID:37	235	skin disease																								
DOID:3721	236	plasmacytoma																								
DOID:3818	237	photoallergic dermatitis																								
DOID:3910	238	lung adenocarcinoma																								
DOID:399	239	tuberculosis																								
DOID:0050117	240	infectious disease																								
DOID:4166	242	syphilis																								
DOID:417	243	autoimmune disease																								
DOID:418	244	systemic scleroderma																								
DOID:4313	246	epidermolysis bullosa acquisita																								
DOID:4325	247	Ebola hemorrhagic fever																								
DOID:437	248	myasthenia gravis																								
DOID:4376	249	milk allergy																								
DOID:4377	250	egg allergy																								
DOID:4378	251	peanut allergy																								
DOID:4411	252	hepatitis E																								
DOID:4481	253	allergic rhinitis																								
DOID:456	255	ascariasis																								
DOID:10534	259	stomach cancer																								
DOID:5223	264	infertility																								
DOID:5214	265	demyelinating polyneuropathy																								
DOID:526	266	human immunodeficiency virus infectious disease																								
DOID:5411	267	lung oat cell carcinoma																								
DOID:5419	268	schizophrenia																								
DOID:552	271	pneumonia																								
DOID:5679	273	retinal disease																								
DOID:5733	274	salpingitis																								
DOID:612	275	primary immunodeficiency disease																								
DOID:6196	278	reactive arthritis																								
DOID:6364	281	migraine																								
DOID:640	284	encephalomyelitis																								
DOID:643	285	progressive multifocal leukoencephalopathy																								
DOID:646	286	viral encephalitis																								
DOID:676	288	juvenile rheumatoid arthritis																								
DOID:684	289	hepatocellular carcinoma																								
DOID:8632	290	Kaposi's sarcoma																								
DOID:7147	291	ankylosing spondylitis																								
DOID:7148	292	rheumatoid arthritis																								
DOID:718	293	autoimmune hemolytic anemia																								
DOID:7188	294	autoimmune thyroiditis																								
DOID:7426	297	cutaneous anthrax																								
DOID:7551	298	gonorrhea																								
DOID:784	299	chronic kidney disease																								
DOID:824	301	periodontitis																								
DOID:8398	302	osteoarthritis																								
DOID:8469	304	influenza																								
DOID:8505	306	dermatitis herpetiformis																								
DOID:8506	307	bullous pemphigoid																								
DOID:936	308	brain disease																								
DOID:853	309	polymyalgia rheumatica																								
DOID:8536	311	herpes zoster																								
DOID:8544	312	chronic fatigue syndrome																								
DOID:8566	314	herpes simplex																								
DOID:8567	315	Hodgkin's lymphoma																								
DOID:8568	316	infectious mononucleosis																								
DOID:8577	317	ulcerative colitis																								
DOID:8584	318	Burkitt lymphoma																								
DOID:8991	319	cervix uteri carcinoma in situ																								
DOID:8622	320	measles																								
DOID:863	321	nervous system disease																								
DOID:865	322	vasculitis																								
DOID:8659	323	chickenpox																								
DOID:8692	324	myeloid leukemia																								
DOID:870	325	neuropathy																								
DOID:8704	326	genital herpes																								
DOID:8736	327	smallpox																								
DOID:874	328	bacterial pneumonia																								
DOID:8778	329	Crohn's disease																								
DOID:8781	330	rubella																								
DOID:883	331	parasitic helminthiasis infectious disease																								
DOID:885	332	fascioliasis																								
DOID:8869	333	neuromyelitis optica																								
DOID:8923	335	skin melanoma																								
DOID:8924	336	autoimmune thrombocytopenic purpura																								
DOID:8970	337	subacute sclerosing panencephalitis																								
DOID:9065	338	leishmaniasis																								
DOID:9074	339	systemic lupus erythematosus																								
DOID:9111	340	cutaneous leishmaniasis																								
DOID:9146	341	visceral leishmaniasis																								
DOID:9155	342	mucocutaneous leishmaniasis																								
